coef_index,coef_value
11,0.6967155165071673
0,0.4592880369198486
23,-0.28817132972052223
27,0.14365282682111863
36,0.14220338202289784
20,0.14178370335569734
51,0.1299861480052275
24,0.12586248002854658
21,-0.0999029716377571
60,0.088112871551813
10,0.08387752502727379
25,-0.08353733344449656
68,-0.08123962412945877
13,-0.08026466450056582
39,0.07874408056410818
37,-0.07659611964454165
15,0.07391020304878584
67,-0.07277512580720749
41,-0.06942090773882394
31,0.06928064668405629
4,-0.06395930745364246
38,0.06289040385716928
8,-0.06210705365277681
34,0.06052865292596597
58,0.06030394141161447
43,-0.0585665888418408
55,0.05567281172746207
64,0.054569055656733687
17,-0.053333568902204566
5,0.052301123580623
54,0.05094227050441745
40,-0.04888164871035562
69,-0.04886128723842113
33,0.046930139327852005
46,0.04664088736034457
14,-0.04440709819989934
30,-0.04392317093116689
3,-0.04372854888449148
2,0.042950302335020105
1,-0.042950302335020105
61,-0.04237344818313232
62,-0.04194635908897974
65,-0.038393378572262556
45,0.028728804914137585
18,0.025597099316209012
50,-0.02440482875754146
63,-0.023722368923032578
7,0.02297741005595058
57,0.022152728024166724
56,0.02087284735137106
47,-0.0188205902979661
28,0.016767306878842494
42,-0.015827452259985268
44,0.012866967219199797
49,-0.012842664234964536
35,-0.010831093372181326
53,0.0040599373045214614
66,0.0035462264083444017
6,0.002753048578025808
48,0.0021284173119678366
29,0.001386979864947314
22,-0.001254931182055295
26,0.0011606776845695243
19,-0.001116705799802375
32,0.0011150602398702027
9,0.00047053408189513617
52,-0.000433739462797895
12,0.0003077619500419684
16,-0.00029285870202695025
59,0.00014255556876101712
