pc_index,pc_name,pc_coefficient,gene_name,gene_loading,risk_weighted_loading,rank_within_pc
1,EXPR_PC01,0.30442993123105166,EXPR_CD24,0.1786247918861262,0.05437873311005432,1
1,EXPR_PC01,0.30442993123105166,EXPR_CXCL14,0.17343095993740035,0.05279757520707806,2
1,EXPR_PC01,0.30442993123105166,EXPR_GPRC5A,0.16719628631170194,0.05089955394395865,3
1,EXPR_PC01,0.30442993123105166,EXPR_PPP1R1B,0.1666232990348333,0.05072511946666526,4
1,EXPR_PC01,0.30442993123105166,EXPR_SYT13,0.16635126194665883,0.05064230323462001,5
1,EXPR_PC01,0.30442993123105166,EXPR_SERPINA3,0.16209381607109558,0.04934620927950236,6
1,EXPR_PC01,0.30442993123105166,EXPR_CA9,0.16204497604393603,0.04933134091339286,7
1,EXPR_PC01,0.30442993123105166,EXPR_ADAM6,0.1600320333078095,0.048718540894661815,8
1,EXPR_PC01,0.30442993123105166,EXPR_FGFR2,0.1583734506316413,0.04821361868461491,9
1,EXPR_PC01,0.30442993123105166,EXPR_CXCL5,0.15826034637210315,0.04817918636266178,10
2,EXPR_PC02,-0.20759115807334066,EXPR_HEPACAM,0.25547915433928164,-0.053035213512889215,1
2,EXPR_PC02,-0.20759115807334066,EXPR_AQP4,0.2482708196106723,-0.05153882695879692,2
2,EXPR_PC02,-0.20759115807334066,EXPR_ABCB5,-0.2258103507248037,0.04687623221190922,3
2,EXPR_PC02,-0.20759115807334066,EXPR_ESRP1,-0.2247714455475564,0.04666056468303607,4
2,EXPR_PC02,-0.20759115807334066,EXPR_TCN1,-0.2181784461808844,0.04529191630933182,5
2,EXPR_PC02,-0.20759115807334066,EXPR_FDCSP,-0.21269023624175437,0.044152612452318205,6
2,EXPR_PC02,-0.20759115807334066,EXPR_NEU4,0.2052794436116227,-0.04261419742798779,7
2,EXPR_PC02,-0.20759115807334066,EXPR_EDM1,-0.20509500332892136,0.042575909256106444,8
