horizon_months,n_test_known,event_rate_test_known,threshold_from_calibration,roc_auc,pr_auc,brier,accuracy,precision,recall_sensitivity,specificity,f1,tp,fp,tn,fn
12,279,0.24372759856630824,0.20500000000000002,0.7530666294954,0.4686773193069326,0.14922682063057086,0.7383512544802867,0.47572815533980584,0.7205882352941176,0.7440758293838863,0.5730994152046783,49,54,157,19
24,235,0.548936170212766,0.525,0.7981570864414217,0.8374149541144957,0.17925962277919005,0.7531914893617021,0.8141592920353983,0.7131782945736435,0.8018867924528302,0.7603305785123967,92,21,85,37
36,221,0.6968325791855203,0.725,0.8043225431285133,0.9047314131889255,0.1630843039007943,0.7104072398190046,0.9166666666666666,0.6428571428571429,0.8656716417910447,0.7557251908396947,99,9,58,55
60,204,0.8333333333333334,0.88,0.77439446366782,0.937184578749515,0.12211329737139187,0.5882352941176471,0.9886363636363636,0.5117647058823529,0.9705882352941176,0.6744186046511628,87,1,33,83
