alpha,l1_ratio,n_valid_folds,n_failed_folds,mean_c_index,std_c_index,fold_scores,failure_notes
3.0,0.7,5,0,0.7128538031591864,0.02558916622754606,"0.6684, 0.7155, 0.7067, 0.7296, 0.7440",
3.0,0.5,5,0,0.7124063074921928,0.026021837752978273,"0.6667, 0.7150, 0.7073, 0.7292, 0.7438",
3.0,0.3,5,0,0.7112705044014225,0.02587173530791973,"0.6655, 0.7135, 0.7070, 0.7288, 0.7416",
1.5,0.7,5,0,0.7112700829520977,0.02588290700090239,"0.6657, 0.7122, 0.7072, 0.7296, 0.7416",
1.5,0.5,5,0,0.7107085260363049,0.026399781820047256,"0.6641, 0.7107, 0.7077, 0.7294, 0.7416",
0.3,0.7,5,0,0.7103869050814777,0.02706670525601233,"0.6618, 0.7107, 0.7087, 0.7300, 0.7407",
0.8,0.5,5,0,0.7103270159503465,0.02669435713679574,"0.6628, 0.7105, 0.7080, 0.7296, 0.7408",
0.8,0.7,5,0,0.7103094806954855,0.02674531799503149,"0.6628, 0.7106, 0.7076, 0.7296, 0.7410",
3.0,0.1,5,0,0.7102497700911495,0.0266629703971385,"0.6632, 0.7108, 0.7069, 0.7288, 0.7416",
1.5,0.3,5,0,0.7101293057000475,0.026398910361325304,"0.6634, 0.7094, 0.7078, 0.7295, 0.7405",
0.8,0.1,5,0,0.7101139479008498,0.027014364949610202,"0.6620, 0.7104, 0.7077, 0.7295, 0.7410",
0.3,0.5,5,0,0.7100475138138724,0.027258827530677657,"0.6614, 0.7102, 0.7080, 0.7297, 0.7410",
0.8,0.3,5,0,0.7099583597209629,0.0265759916889227,"0.6626, 0.7100, 0.7077, 0.7292, 0.7402",
0.3,0.3,5,0,0.709908650413051,0.02742165438482036,"0.6609, 0.7098, 0.7080, 0.7301, 0.7407",
0.3,0.1,5,0,0.709852165861364,0.027387420760504638,"0.6609, 0.7098, 0.7079, 0.7301, 0.7406",
0.8,0.0,5,0,0.7098449431643798,0.027242163352038957,"0.6613, 0.7101, 0.7074, 0.7296, 0.7408",
0.1,0.7,5,0,0.7097946935019881,0.02740942293682674,"0.6608, 0.7100, 0.7078, 0.7301, 0.7404",
1.5,0.1,5,0,0.7097685475229193,0.026851770491966413,"0.6621, 0.7095, 0.7075, 0.7290, 0.7407",
3.0,0.0,5,0,0.7097678158285454,0.02653239926123584,"0.6625, 0.7104, 0.7072, 0.7284, 0.7403",
1.5,0.0,5,0,0.7096467964088322,0.027117142711599415,"0.6615, 0.7094, 0.7073, 0.7293, 0.7407",
0.3,0.0,5,0,0.7095772195282356,0.02746671382093966,"0.6605, 0.7097, 0.7075, 0.7298, 0.7404",
0.1,0.5,5,0,0.7095565959537197,0.02758919321228731,"0.6600, 0.7100, 0.7076, 0.7300, 0.7401",
0.1,0.3,5,0,0.7094358437729079,0.02759425408329479,"0.6600, 0.7094, 0.7077, 0.7299, 0.7402",
0.1,0.0,5,0,0.7093774584610323,0.027452417501799244,"0.6602, 0.7093, 0.7077, 0.7298, 0.7399",
0.1,0.1,5,0,0.7093232448825602,0.027493910384287043,"0.6601, 0.7093, 0.7075, 0.7297, 0.7400",
