coef_index,coef_value
11,0.5751537680799523
0,0.4370337997281028
14,-0.22330569554006238
28,0.17837710269125134
30,0.17247330355823254
69,-0.17244083292290793
12,-0.14766237773561103
38,0.13179785374241895
22,-0.12915082976745643
39,-0.11672850007592764
65,-0.11162685553478358
40,0.10525719714734423
26,0.09931132550054911
10,0.0950441894057306
45,-0.09352639053605663
54,0.09264652790571486
55,0.09074876040451067
15,0.081912902840098
50,0.07600447773264225
34,-0.07167878261865865
42,-0.06649635998707036
46,0.06365377340693064
31,0.06325025822101381
4,-0.06236662613159702
24,0.05961025470924545
59,-0.056705910426757745
51,-0.056157532114782305
8,-0.05570926834006825
5,0.055360596021424825
18,0.05466702332618568
62,-0.05266599082755301
49,-0.05257031794723409
68,0.05234984067754014
20,0.04521590955683608
48,0.04512483971522657
43,0.04374690524892968
66,0.04248641956966883
60,0.04067578155021572
1,-0.04042483561174498
2,0.04042483561174498
64,-0.039993293410943175
3,-0.0388557281299613
33,-0.0382132265908567
44,0.03712455434345057
57,0.03660280062673041
17,-0.034786885028196206
7,0.033830755698973605
61,-0.032658169382618056
29,-0.03184195621493785
32,0.029243501983582745
36,-0.02202065296048754
56,-0.01964480920319306
37,0.019639381858485724
41,0.012652435288319634
52,-0.012331524578518814
63,0.009213045864248131
19,-0.008414735048001448
53,0.007889236701574731
58,-0.00631999763868655
23,-0.005256535348429418
47,0.004913674137395509
13,0.002743489129369076
6,0.00222968155834428
67,-0.0017803575282089824
27,-0.0008548081558380175
35,-0.00082307668483038
9,0.000517534182969227
25,-0.0003726641171920967
21,-0.0002047641184105959
16,-0.0001362834822562098
