horizon_months,n_test_known,event_rate_test_known,threshold_from_calibration,roc_auc,pr_auc,brier,accuracy,precision,recall_sensitivity,specificity,f1,tp,fp,tn,fn
12,279,0.24372759856630824,0.255,0.7641831614162253,0.5165427431508458,0.15063448984348937,0.6917562724014337,0.423728813559322,0.7352941176470589,0.6777251184834123,0.5376344086021505,50,68,143,18
24,235,0.548936170212766,0.44,0.8046292233435716,0.8243738211422833,0.17720057692802854,0.7446808510638298,0.8108108108108109,0.6976744186046512,0.8018867924528302,0.75,90,21,85,39
36,221,0.6968325791855203,0.7000000000000001,0.7917716611746461,0.8849111080916324,0.16555079430034592,0.6877828054298643,0.897196261682243,0.6233766233766234,0.835820895522388,0.735632183908046,96,11,56,58
60,204,0.8333333333333334,0.885,0.7408304498269895,0.9289904840393084,0.12771723688902772,0.5931372549019608,0.978021978021978,0.5235294117647059,0.9411764705882353,0.6819923371647509,89,2,32,81
