alpha,l1_ratio,n_valid_folds,n_failed_folds,mean_c_index,std_c_index,fold_scores,failure_notes
3.0,0.7,5,0,0.7168138618378502,0.03562860114892489,"0.6475, 0.7393, 0.7187, 0.7428, 0.7358",
3.0,0.5,5,0,0.7162453145194365,0.035713051326676445,"0.6466, 0.7387, 0.7189, 0.7421, 0.7349",
1.5,0.7,5,0,0.7150484765589332,0.03630036213404651,"0.6439, 0.7361, 0.7199, 0.7414, 0.7340",
3.0,0.3,5,0,0.7150002201528998,0.0359745583859004,"0.6445, 0.7363, 0.7196, 0.7410, 0.7336",
1.5,0.5,5,0,0.7145618731032075,0.0361675011603779,"0.6434, 0.7345, 0.7208, 0.7410, 0.7331",
0.8,0.7,5,0,0.7143257177526234,0.035914455594168296,"0.6438, 0.7329, 0.7203, 0.7412, 0.7335",
1.5,0.3,5,0,0.7142357917268517,0.03587053659645082,"0.6438, 0.7336, 0.7202, 0.7411, 0.7325",
3.0,0.1,5,0,0.7140240527449637,0.036031239465691506,"0.6433, 0.7352, 0.7195, 0.7408, 0.7313",
0.8,0.5,5,0,0.7138113350102935,0.035767412791204496,"0.6436, 0.7321, 0.7198, 0.7412, 0.7323",
3.0,0.0,5,0,0.7136120920109417,0.03594388227042611,"0.6431, 0.7339, 0.7196, 0.7410, 0.7305",
0.8,0.3,5,0,0.7134491745889648,0.0358387365030394,"0.6431, 0.7316, 0.7194, 0.7413, 0.7319",
1.5,0.1,5,0,0.7133189501549553,0.03581652507978794,"0.6431, 0.7324, 0.7193, 0.7411, 0.7307",
0.3,0.7,5,0,0.7131789509139932,0.035658300038698326,"0.6432, 0.7305, 0.7195, 0.7415, 0.7311",
0.3,0.5,5,0,0.7129219763409744,0.03553189960883289,"0.6432, 0.7300, 0.7194, 0.7414, 0.7305",
0.8,0.1,5,0,0.7129133301748087,0.035445383336053723,"0.6434, 0.7304, 0.7192, 0.7412, 0.7303",
1.5,0.0,5,0,0.7129048923466944,0.03599420687683444,"0.6422, 0.7316, 0.7198, 0.7409, 0.7301",
0.3,0.3,5,0,0.7127076234070889,0.035619425984212826,"0.6429, 0.7296, 0.7193, 0.7415, 0.7303",
0.8,0.0,5,0,0.7125932257092944,0.03591627279920313,"0.6422, 0.7302, 0.7191, 0.7414, 0.7301",
0.1,0.7,5,0,0.7125487209598667,0.03565653746919761,"0.6426, 0.7291, 0.7193, 0.7412, 0.7305",
0.3,0.1,5,0,0.712525349121129,0.03563226668221629,"0.6426, 0.7293, 0.7194, 0.7411, 0.7302",
0.1,0.5,5,0,0.7123721340448241,0.03601824807845623,"0.6417, 0.7290, 0.7193, 0.7414, 0.7304",
0.3,0.0,5,0,0.7123086635496254,0.03581000460771503,"0.6421, 0.7292, 0.7190, 0.7411, 0.7301",
0.1,0.3,5,0,0.7122986663844731,0.0359123864398722,"0.6419, 0.7289, 0.7190, 0.7414, 0.7303",
0.1,0.1,5,0,0.712242858529234,0.03582459983759528,"0.6420, 0.7287, 0.7191, 0.7412, 0.7302",
0.1,0.0,5,0,0.7121929374503528,0.035841013622959286,"0.6419, 0.7283, 0.7192, 0.7412, 0.7303",
