horizon_months,n_cal_known,n_test_known,qhat,coverage_known_test,mean_interval_width,note
12,269,279,0.6153846153846154,0.9068100358422939,0.8320201649700788,ok
24,230,235,0.7333333333333334,0.9659574468085106,0.9530568349552463,ok
36,211,221,0.5714285714285714,0.8959276018099548,0.8220655073947186,ok
60,192,204,0.6666666666666666,0.8872549019607843,0.7941314929244593,ok
