coef_index,coef_value
11,0.8621393984622773
21,0.41646629601452645
14,-0.35979594289927497
0,0.3285788718027872
23,-0.21589939661671204
39,0.1874886429413553
13,-0.13599240615577773
18,0.1310424210086064
49,0.126657538524336
44,-0.12541062601996814
40,-0.12327360586061373
6,0.11991916681769284
10,0.11116289305237251
62,0.10986379835632057
42,0.10554373429221234
28,0.1036423822936431
22,-0.09758247006290136
65,-0.0960168390819679
66,0.0954310344633734
29,-0.08475181353387273
59,-0.0839800328010127
20,0.0837704114879688
50,0.08168279284024417
30,0.08037306225851071
34,0.07497171147905253
24,0.07402446910915383
43,-0.07315358767452046
57,-0.07005651163460268
41,0.06975142946391757
52,0.06902460890671216
46,0.06749525834033396
60,0.06726669526432694
3,-0.06551191863133977
31,0.0644197947890748
48,-0.061191308971289604
68,-0.060520482843929725
32,0.058971197924076596
2,0.052125207523847146
1,-0.05212520752384037
47,-0.048245412710714086
69,0.04699615932705527
25,0.04284819708834917
51,0.04035041229369887
35,0.03844057821625793
54,-0.03660651276647229
61,0.03326663250930532
56,-0.029511395319029153
45,-0.02937086467915241
38,0.02873668735684195
8,-0.02855201102647769
53,-0.028248010085983363
67,-0.025509322072667404
63,0.024657959019884365
26,0.02340410334412395
4,-0.021239664836511084
37,0.021101431133651156
16,-0.017162515409999236
5,-0.015908169312790956
55,0.015496173677876295
17,0.013935498047314233
58,-0.013760652671045981
64,-0.013229390887627415
27,-0.012231677084457262
33,-0.009702529974674072
7,0.00860051089713877
36,0.007970632424495673
19,-0.0056257761601493875
12,-0.0006044628660571807
9,-0.0005737132993857183
15,-6.230758295833918e-05
