horizon_months,n_test_known,event_rate_test_known,auc,brier,note
12.0,289,0.2837370242214533,0.7592788971367974,0.17806547041209322,ok
24.0,247,0.5425101214574899,0.8597609298639546,0.1516177526604429,ok
36.0,228,0.6622807017543859,0.847338092371205,0.1501803982650698,ok
60.0,218,0.7844036697247706,0.8472688814234167,0.1317555021286465,ok
