coef_index,coef_value
11,0.7719928722860876
14,-0.3215256639791682
20,0.30442993123105166
0,0.2933962334472087
21,-0.20759115807334066
23,-0.17136602080637148
27,0.15243885839851457
18,0.14950522586707743
13,-0.12031431906156836
52,0.11928535787832088
6,0.11538956718775209
57,-0.1113360061051365
39,0.10080004338970977
45,0.10067697639242988
37,0.0991084404746369
51,-0.09807973678322089
10,0.08710497829986716
49,0.08134072368775272
44,-0.07381039430918009
29,0.07279584440652634
66,0.07224213809624275
30,-0.06685325261493431
35,-0.06596759190930776
38,-0.0622155535709688
41,-0.057158770233174214
42,-0.05624150858306904
1,-0.05449439871052806
2,0.05449439871052736
48,-0.05158077788814769
63,-0.05105133164030826
31,0.04674198702172983
54,-0.045602484694245236
50,0.04430775447963422
36,0.043384385919666084
34,-0.0424546391681309
65,-0.03765548550425093
43,-0.03683693496404577
61,0.03659650295679623
62,-0.0359813542621971
25,-0.03460368088950458
28,0.03414759249258616
17,0.03315249807352515
40,0.03079865915037954
7,0.028986020117917722
24,0.02869806072172597
3,-0.02647760989134715
58,0.026326289834565166
68,0.02514105384405629
32,0.023035354875207366
47,-0.014981251123642417
19,-0.013133567155885381
33,0.012491349903125998
64,-0.009602022701068535
56,0.009455150391691248
53,0.008236305684981673
4,-0.005681133882135136
5,-0.005653956939622579
60,-0.0036741019738533187
9,-0.0029825771662800745
55,-0.0026065595698054073
59,-0.0023544257453857066
16,-0.001266170540402234
67,0.0007240029274064051
69,-0.0004996556027957804
12,0.0004451460358878036
46,0.0003394847193126543
15,-0.00022170413215065194
26,0.00021829578046445407
22,-0.00012761685939017192
8,5.090023003745396e-05
