file,column,rows,unusable_count,unusable_frac,nunique_valid,mode_freq_valid,drop_candidate_min_effect
clinical_all_clean.parquet,OTHER_PATIENT_ID,1628,0,0.0,1628,0.0006142506142506142,False
clinical_all_clean.parquet,PATIENT_ID,1628,0,0.0,1628,0.0006142506142506142,False
clinical_all_clean.parquet,FORM_COMPLETION_DATE,1628,0,0.0,365,0.03194103194103194,False
clinical_all_clean.parquet,HISTORY_LGG_DX_OF_BRAIN_TISSUE,1628,1032,0.6339066339066339,2,0.9748322147651006,True
clinical_all_clean.parquet,PROSPECTIVE_COLLECTION,1628,565,0.34705159705159705,3,0.5870178739416745,False
clinical_all_clean.parquet,RETROSPECTIVE_COLLECTION,1628,565,0.34705159705159705,3,0.587958607714017,False
clinical_all_clean.parquet,SEX,1628,0,0.0,2,0.6222358722358723,False
clinical_all_clean.parquet,RACE,1628,50,0.030712530712530713,4,0.8257287705956907,False
clinical_all_clean.parquet,ETHNICITY,1628,167,0.10257985257985258,3,0.9671457905544147,False
clinical_all_clean.parquet,HISTORY_OTHER_MALIGNANCY,1628,564,0.3464373464373464,3,0.9257518796992481,False
clinical_all_clean.parquet,HISTORY_NEOADJUVANT_TRTYN,1628,1,0.0006142506142506142,3,0.9698832206515058,False
clinical_all_clean.parquet,INITIAL_PATHOLOGIC_DX_YEAR,1628,0,0.0,32,0.29975429975429974,False
clinical_all_clean.parquet,METHOD_OF_INITIAL_SAMPLE_PROCUREMENT,1628,856,0.5257985257985258,7,0.8147668393782384,False
clinical_all_clean.parquet,TUMOR_STATUS,1628,163,0.10012285012285012,3,0.6273037542662117,False
clinical_all_clean.parquet,KARNOFSKY_PERFORMANCE_SCORE,1628,0,0.0,8,0.8826781326781327,False
clinical_all_clean.parquet,ECOG_SCORE,1628,0,0.0,5,0.8581081081081081,False
clinical_all_clean.parquet,PERFORMANCE_STATUS_TIMING,1628,1258,0.7727272727272727,4,0.36486486486486486,True
clinical_all_clean.parquet,RADIATION_TREATMENT_ADJUVANT,1628,754,0.4631449631449631,3,0.9084668192219679,False
clinical_all_clean.parquet,PHARMACEUTICAL_TX_ADJUVANT,1628,941,0.578009828009828,2,0.8151382823871907,True
clinical_all_clean.parquet,NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,1628,728,0.44717444717444715,4,0.5455555555555556,False
clinical_all_clean.parquet,AGE,1628,0,0.0,77,0.030712530712530713,False
clinical_all_clean.parquet,DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS,1628,0,0.0,1,1.0,False
clinical_all_clean.parquet,HISTOLOGICAL_DIAGNOSIS,1628,470,0.28869778869778867,11,0.47063903281519864,False
clinical_all_clean.parquet,ICD_10,1628,0,0.0,56,0.3617936117936118,False
clinical_all_clean.parquet,ICD_O_3_HISTOLOGY,1628,0,0.0,23,0.36609336609336607,False
clinical_all_clean.parquet,ICD_O_3_SITE,1628,0,0.0,52,0.3617936117936118,False
clinical_all_clean.parquet,INFORMED_CONSENT_VERIFIED,1628,0,0.0,1,1.0,False
clinical_all_clean.parquet,TISSUE_SOURCE_SITE,1628,0,0.0,111,0.0952088452088452,False
clinical_all_clean.parquet,SITE_OF_TUMOR_TISSUE,1628,470,0.28869778869778867,3,0.5146804835924007,False
clinical_all_clean.parquet,OS_STATUS,1628,2,0.0012285012285012285,2,0.5824108241082411,False
clinical_all_clean.parquet,OS_MONTHS,1628,0,0.0,1049,0.010442260442260442,False
clinical_all_clean.parquet,DFS_STATUS,1628,317,0.1947174447174447,2,0.6895499618611747,False
clinical_all_clean.parquet,DFS_MONTHS,1628,0,0.0,842,0.20147420147420148,False
clinical_all_clean.parquet,CANCER_TYPE,1628,0,0.0,4,0.36609336609336607,False
clinical_all_clean.parquet,HEIGHT,1628,0,0.0,50,0.652948402948403,False
clinical_all_clean.parquet,WEIGHT,1628,0,0.0,93,0.6363636363636364,False
clinical_all_clean.parquet,FAMILY_HISTORY_OF_CANCER,1628,1189,0.7303439803439803,2,0.5899772209567198,True
clinical_all_clean.parquet,HISTORY_HEPATO_CARCINOMA_RISK_FACTORS,1628,1270,0.7800982800982801,22,0.25977653631284914,True
clinical_all_clean.parquet,DEFINITIVE_SURGICAL_PROCEDURE,1628,1254,0.7702702702702703,6,0.3877005347593583,True
clinical_all_clean.parquet,GRADE,1628,1071,0.6578624078624079,5,0.49730700179533216,False
clinical_all_clean.parquet,RESIDUAL_TUMOR,1628,1085,0.6664619164619164,4,0.8121546961325967,False
clinical_all_clean.parquet,AJCC_STAGING_EDITION,1628,611,0.3753071253071253,7,0.6086529006882989,False
clinical_all_clean.parquet,AJCC_TUMOR_PATHOLOGIC_PT,1628,626,0.3845208845208845,16,0.20658682634730538,False
clinical_all_clean.parquet,AJCC_NODES_PATHOLOGIC_PN,1628,619,0.38022113022113024,10,0.5371655104063429,False
clinical_all_clean.parquet,AJCC_METASTASIS_PATHOLOGIC_PM,1628,624,0.3832923832923833,6,0.7719123505976095,False
clinical_all_clean.parquet,AJCC_PATHOLOGIC_TUMOR_STAGE,1628,657,0.4035626535626536,17,0.2121524201853759,False
clinical_all_clean.parquet,YEAR_OF_INITIAL_PATHOLOGIC_DIAGNOSIS,1628,0,0.0,19,0.8046683046683046,False
clinical_all_clean.parquet,PRIMARY_MELANOMA_KNOWN_DX,1628,1158,0.7113022113022113,2,0.9,True
clinical_all_clean.parquet,PRIMARY_MULTIPLE_AT_DX,1628,1231,0.7561425061425061,2,0.9697732997481109,True
clinical_all_clean.parquet,BRESLOW_DEPTH,1628,0,0.0,125,0.7893120393120393,False
clinical_all_clean.parquet,SUBMITTED_TUMOR_DX_DAYS_TO,1628,1164,0.714987714987715,299,0.2521551724137931,True
clinical_all_clean.parquet,TUMOR_SITE,1628,1163,0.7143734643734644,11,0.4150537634408602,True
clinical_all_clean.parquet,PRIMARY_MELANOMA_SKIN_TYPE,1628,1193,0.7328009828009828,1,1.0,True
clinical_all_clean.parquet,OS_EVENT,1628,0,0.0,2,0.5816953316953317,False
clinical_all_clean.parquet,DFS_EVENT,1628,0,0.0,2,0.5552825552825553,False
clinical_all_clean.parquet,AGE_GROUP,1628,0,0.0,5,0.27457002457002455,False
clinical_all_clean.parquet,Status,1628,0,0.0,2,0.5816953316953317,False
expr_log2_gbm.parquet,Hugo_Symbol,20514,1,4.874719703617042e-05,20513,4.874957344123239e-05,False
expr_log2_gbm.parquet,TCGA-02-0047-01,20514,0,0.0,6149,0.13181242078580482,False
expr_log2_gbm.parquet,TCGA-02-0055-01,20514,0,0.0,6395,0.12961879691917716,False
expr_log2_gbm.parquet,TCGA-02-2483-01,20514,0,0.0,7026,0.1391245003412304,False
expr_log2_gbm.parquet,TCGA-02-2485-01,20514,0,0.0,6872,0.13361606707614312,False
expr_log2_gbm.parquet,TCGA-02-2486-01,20514,0,0.0,6191,0.15053134444769425,False
expr_log2_gbm.parquet,TCGA-06-0125-01,20514,0,0.0,7155,0.1385882811738325,False
expr_log2_gbm.parquet,TCGA-06-0125-02,20514,0,0.0,6563,0.14351174807448572,False
expr_log2_gbm.parquet,TCGA-06-0129-01,20514,0,0.0,7199,0.12752266744662183,False
expr_log2_gbm.parquet,TCGA-06-0130-01,20514,0,0.0,6525,0.14083065223749636,False
expr_log2_gbm.parquet,TCGA-06-0132-01,20514,0,0.0,6205,0.13371356147021546,False
expr_log2_gbm.parquet,TCGA-06-0138-01,20514,0,0.0,5842,0.13668714048942185,False
expr_log2_gbm.parquet,TCGA-06-0141-01,20514,0,0.0,6622,0.12406161645705371,False
expr_log2_gbm.parquet,TCGA-06-0152-02,20514,0,0.0,7043,0.12957004972214098,False
expr_log2_gbm.parquet,TCGA-06-0156-01,20514,0,0.0,6385,0.12186799259042605,False
expr_log2_gbm.parquet,TCGA-06-0157-01,20514,0,0.0,6744,0.14034318026713463,False
expr_log2_gbm.parquet,TCGA-06-0158-01,20514,0,0.0,7009,0.13273861752949206,False
expr_log2_gbm.parquet,TCGA-06-0168-01,20514,0,0.0,3425,0.18465438237301354,False
