experiment,mean_c_index,std_c_index,fold_scores
Clinical + Expression(PCA),0.7227408336001472,0.015337450224763497,"0.7100, 0.7495, 0.7293, 0.7172, 0.7078"
Clinical + Expr + CNA,0.7167372513459133,0.012235937995909711,"0.7009, 0.7338, 0.7249, 0.7190, 0.7051"
All (Clinical + Mutation + Expr + CNA),0.7166733071401419,0.011999828352623339,"0.7013, 0.7333, 0.7247, 0.7191, 0.7050"
Clinical + CNA(PCA),0.7121754102447063,0.016656030804936304,"0.6876, 0.7364, 0.7237, 0.7061, 0.7072"
Clinical only,0.7074767813508659,0.019345954042499718,"0.6860, 0.7348, 0.7259, 0.6996, 0.6911"
Clinical + Mutation,0.7067128379890109,0.017968635149773895,"0.6881, 0.7289, 0.7276, 0.6989, 0.6900"
Omics only (Mutation + Expr + CNA),0.7019613914798273,0.0042477042908675424,"0.7020, 0.7022, 0.6980, 0.6979, 0.7096"
