horizon_months,n_cal_known,n_test_known,qhat,coverage_known_test,mean_interval_width,note
12,269,279,0.6483516483516483,0.921146953405018,0.864013486801091,ok
24,230,235,0.7011494252873562,0.9702127659574468,0.9473194088197358,ok
36,211,221,0.5833333333333333,0.9140271493212669,0.8263238582545767,ok
60,192,204,0.6,0.8676470588235294,0.7316960902886374,ok
