horizon_months,n_test_known,event_rate_test_known,threshold_from_calibration,roc_auc,pr_auc,brier,accuracy,precision,recall_sensitivity,specificity,f1,tp,fp,tn,fn
12,279,0.24372759856630824,0.17,0.754077223306384,0.4792496972731611,0.15218988573265999,0.7025089605734767,0.4336283185840708,0.7205882352941176,0.6966824644549763,0.5414364640883977,49,64,147,19
24,235,0.548936170212766,0.43,0.8091633757495977,0.8373242205935187,0.1746707937837585,0.7531914893617021,0.7751937984496124,0.7751937984496124,0.7264150943396226,0.7751937984496124,100,29,77,29
36,221,0.6968325791855203,0.715,0.8043225431285133,0.9018936255896473,0.15971455148855254,0.7330316742081447,0.88,0.7142857142857143,0.7761194029850746,0.7885304659498208,110,15,52,44
60,204,0.8333333333333334,0.87,0.7448961937716262,0.9297396945584935,0.12458001462261241,0.5882352941176471,0.9777777777777777,0.5176470588235295,0.9411764705882353,0.676923076923077,88,2,32,82
