horizon_months,n_cal_known,n_test_known,qhat,coverage_known_test,mean_interval_width,note
12,269,279,0.7272727272727273,0.9498207885304659,0.9187898135396257,ok
24,230,235,0.6962025316455696,0.9617021276595744,0.9475843862003659,ok
36,211,221,0.5510204081632653,0.8868778280542986,0.7997611347519158,ok
60,192,204,0.5384615384615384,0.8627450980392157,0.6705969850745248,ok
