horizon_months,n_test_known,event_rate_test_known,threshold_from_calibration,roc_auc,pr_auc,brier,accuracy,precision,recall_sensitivity,specificity,f1,tp,fp,tn,fn
12,279,0.24372759856630824,0.13,0.7593392807359911,0.5056972785889817,0.1499275287069643,0.6738351254480287,0.4122137404580153,0.7941176470588235,0.6350710900473934,0.542713567839196,54,77,134,14
24,235,0.548936170212766,0.47500000000000003,0.8161474330846864,0.8420076889557704,0.17606187921497446,0.7617021276595745,0.7967479674796748,0.7596899224806202,0.7641509433962265,0.7777777777777778,98,25,81,31
36,221,0.6968325791855203,0.63,0.8047102151579764,0.903300254614396,0.16116876681185224,0.7330316742081447,0.8682170542635659,0.7272727272727273,0.746268656716418,0.7915194346289752,112,17,50,42
60,204,0.8333333333333334,0.86,0.753719723183391,0.9328584209451523,0.12352068124540636,0.5784313725490197,0.9883720930232558,0.5,0.9705882352941176,0.6640625,85,1,33,85
