coef_index,coef_value
11,0.696279880716907
0,0.3297953014321501
14,-0.24121016455409747
21,0.21400378211864743
39,0.18559313265461
44,-0.12653618283968368
18,0.11989271815286615
49,0.11891651791325702
6,0.11678181274608745
40,-0.11260297748393648
22,-0.11203933944428683
10,0.10740127623020927
42,0.10532687950939826
24,0.10379708456611542
30,0.10154869928674834
29,-0.10145213494552388
62,0.09916924610587653
66,0.08791192940509507
65,-0.08711804406385092
28,0.08247111549581028
31,0.0792602539759594
41,0.07356384737973995
59,-0.07300704180206878
50,0.07206633762503754
34,0.07097581756291758
52,0.06457001051436531
43,-0.0639738662246887
46,0.05813231180202773
57,-0.056423737548174376
48,-0.05563923887791883
60,0.05231751164086023
68,-0.05175125369335828
23,-0.05088479382358391
32,0.043245531146246505
69,0.04278685731265138
2,0.041922191495883304
1,-0.04192219149588309
54,-0.04170660134489031
47,-0.03765390645329739
35,0.035558789996551654
61,0.03312094242971852
38,0.03049252315501569
25,0.02926276657729099
53,-0.027687643455625625
51,0.026722094643259264
56,-0.023486136907096215
8,-0.02195143230992694
26,0.021380694462755413
63,0.01993941352234858
37,0.019831838011195053
7,0.019700119445730833
67,-0.018794430100769727
45,-0.018494959159518754
16,-0.017108717857783385
55,0.008122989889267048
13,-0.006940634012344879
4,-0.006733852885736006
17,0.006599279519232136
5,-0.006270391727817802
64,-0.004873044531465073
58,-0.004403648664030119
33,0.004219441603959901
36,0.004107631135386765
3,-0.003045643672777596
20,0.0024079591197601127
19,-0.0004893225766001234
9,-0.000469099712614966
15,-0.0004017315802346279
12,0.0003961994847965474
27,0.0003382593583897032
