horizon_months,n_test,event_rate_test,roc_auc,pr_auc,brier,threshold_from_calibration,accuracy,precision,recall_sensitivity,specificity,f1,tp,fp,tn,fn
12,289,0.2837370242214533,0.7757452574525745,0.524919341002301,0.17179468783886345,0.17500000000000002,0.7370242214532872,0.525,0.7682926829268293,0.7246376811594203,0.6237623762376238,63,57,150,19
24,247,0.5425101214574899,0.8624686302998283,0.8671447295278165,0.15789143304881073,0.43,0.7449392712550608,0.7151515151515152,0.8805970149253731,0.584070796460177,0.7892976588628763,118,47,66,16
36,228,0.6622807017543859,0.8479401393308676,0.9139279799145349,0.15538956137781063,0.465,0.7631578947368421,0.8129032258064516,0.8344370860927153,0.6233766233766234,0.8235294117647058,126,29,48,25
