horizon_months,n_cal_known,n_test_known,qhat,coverage_known_test,mean_interval_width,note
12,269,279,0.6956521739130435,0.9354838709677419,0.894849625246011,ok
24,230,235,0.7083333333333333,0.9617021276595744,0.9500817026805296,ok
36,211,221,0.6666666666666666,0.8733031674208145,0.8773908491943251,ok
60,192,204,0.5714285714285714,0.8627450980392157,0.7000345371491912,ok
