horizon_months,n_test_known,event_rate_test_known,threshold_from_calibration,roc_auc,pr_auc,brier,accuracy,precision,recall_sensitivity,specificity,f1,tp,fp,tn,fn
12,279,0.24372759856630824,0.13,0.7740800111513799,0.49879200550040775,0.1544505688149353,0.6917562724014337,0.425,0.75,0.6729857819905213,0.5425531914893617,51,69,142,17
24,235,0.548936170212766,0.545,0.800972648822583,0.8267187139416209,0.18179780759447262,0.7489361702127659,0.8240740740740741,0.689922480620155,0.8207547169811321,0.7510548523206751,89,19,87,40
36,221,0.6968325791855203,0.7000000000000001,0.7931769722814498,0.89758941460007,0.167097141694894,0.7104072398190046,0.9166666666666666,0.6428571428571429,0.8656716417910447,0.7557251908396947,99,9,58,55
60,204,0.8333333333333334,0.87,0.7267301038062284,0.9216398213491994,0.12865024248235202,0.5686274509803921,0.9767441860465116,0.49411764705882355,0.9411764705882353,0.65625,84,2,32,86
